country,GHI_mean,GHI_median,GHI_std,DNI_mean,DNI_median,DNI_std,DHI_mean,DHI_median,DHI_std
Benin,240.34281088280062,1.8,330.8683079971461,167.18751598173517,-0.1,261.7105006198363,110.90698287671233,1.6,152.91684359172805
Sierra Leone,185.00002415041584,-0.4,279.01946040484705,104.12894260447509,-0.1,200.95418239316854,108.10427835415896,-0.6,153.6918352800832
Togo,223.8596747548654,0.5,317.30627677707486,147.9759308142361,0.0,247.68369034949148,112.78124853538982,1.5,151.57174350730457
